store_id,store_name,genre,rate,review_cnt,store_url,address,latitude,longitude,business_hours,reserve,dinner_budget,lunch_budget,opened
17009314,能登ワイン,その他、バー,3.07,15,https://tabelog.com/ishikawa/A1704/A170403/17009314/,石川県/鳳珠郡穴水町/旭ヶ丘り5-1,37.23145144684929,136.99641883198478,09:00 - 17:00,,-,"￥1,000～￥1,999",
17011896,リウ・クリュ,カフェ,3.01,1,https://tabelog.com/ishikawa/A1704/A170403/17011896/,石川県/鳳珠郡穴水町/旭ヶ丘ち52-1,37.2340384733519,136.9942283209496,10:00 - 17:00 ■ 定休日/不定休,,-,-,
17002450,福寿司,寿司,3.35,60,https://tabelog.com/ishikawa/A1704/A170403/17002450/,石川県/鳳珠郡穴水町/川島/ア-34,37.23060933682186,136.9086233920378,■ 営業時間/11時30分~ネタ終了まで/■ 定休日/日曜日,予約可,-,-,
17002357,幸寿し,寿司、海鮮丼、海鮮,3.28,41,https://tabelog.com/ishikawa/A1704/A170403/17002357/,石川県/鳳珠郡穴水町/大町/チ-37-4,37.2287628268219,136.90504916202167,月・火・木・金・土・日・祝日・祝前日・祝後日/11:30 - 14:00/17:00 - 22:00/水/定休日 年末年始はテイクアウトのみです。/Instagramもしくは公式ウェブサイトでご確認お願いします。,予約可,"￥5,000～￥5,999","￥2,000～￥2,999",2007年7月9日
17010453,cafe&炭火焼なぎさガーデン,ろばた焼き、海鮮,3.23,36,https://tabelog.com/ishikawa/A1703/A170302/17010453/,石川県/鳳珠郡穴水町/曽福/子8-5,37.17079025685403,136.89034873144638,月・火・木・金・土/11:00 - 15:00/L.O. 14:30/17:00 - 20:00/日/11:00 - 17:00/L.O. 15:00/水/定休日 ■ 営業時間/〔月･火･木･金･土〕/17:00～20:00※5名～の利用のみ/■ 定休日/※冬期間（12月15日～2月末）は夜は予約制になります（※当日予約可能）,予約可,-,"￥1,000～￥1,999",
17005254,お食事・寿し 高尾,寿司、海鮮丼、海鮮,3.2,19,https://tabelog.com/ishikawa/A1704/A170403/17005254/,石川県/鳳珠郡穴水町/此木/25-29-3,37.25111854680684,136.90237442224938,火・水・木・金・土・日/11:00 - 14:00/17:00 - 20:00/月/定休日 ■ 定休日/祝月営業翌日休,予約可,-,"￥2,000～￥2,999",
17003854,力,ちゃんこ鍋、海鮮,3.2,18,https://tabelog.com/ishikawa/A1704/A170403/17003854/,石川県/鳳珠郡穴水町/川島/イ-58,37.23082924682112,136.90675335204136,12:00 - 22:30 ■ 定休日/不定休,予約可,"￥3,000～￥3,999","￥1,000～￥1,999",
17002939,フリースタイル,喫茶店,3.16,16,https://tabelog.com/ishikawa/A1704/A170403/17002939/,石川県/鳳珠郡穴水町/大町/は24,37.22888487682162,136.90442238202334,月・火・木・金・土・日/09:00 - 21:00/水/定休日,,-,～￥999,1973年7月
17002042,もりそば,そば、うどん、天丼,3.15,12,https://tabelog.com/ishikawa/A1704/A170403/17002042/,石川県/鳳珠郡穴水町/川島/ヨ-7-8,37.23245950681981,136.90587035205843,,予約可,-,-,
17011882,八幡のすしべん 穴水此木店,食堂,3.11,25,https://tabelog.com/ishikawa/A1704/A170403/17011882/,石川県/鳳珠郡穴水町/此木/4-14,37.24446738680989,136.89868277218477,07:00 - 20:30/L.O. 料理20:00,予約不可,-,～￥999,
17010416,コーストテーブル,かき、カフェ、海鮮,3.1,14,https://tabelog.com/ishikawa/A1704/A170403/17010416/,石川県/鳳珠郡穴水町/中居南/2-107,37.22520624683651,136.94384510195857,月・火・木・金・土・日/11:00 - 15:00/水/定休日,予約可,-,"￥3,000～￥3,999",2016年1月15日
17001641,香林,中華料理,3.09,12,https://tabelog.com/ishikawa/A1704/A170403/17001641/,石川県/鳳珠郡穴水町/川島/68-1,37.23320760681975,136.9071629120651,,予約可,-,-,
17002357,幸寿し,寿司、海鮮丼、海鮮,3.28,41,https://tabelog.com/ishikawa/A1704/A170403/17002357/,石川県/鳳珠郡穴水町/大町/チ-37-4,37.2287628268219,136.90504916202167,月・火・木・金・土・日・祝日・祝前日・祝後日/11:30 - 14:00/17:00 - 22:00/水/定休日 年末年始はテイクアウトのみです。/Instagramもしくは公式ウェブサイトでご確認お願いします。,予約可,"￥5,000～￥5,999","￥2,000～￥2,999",2007年7月9日
17002939,フリースタイル,喫茶店,3.16,16,https://tabelog.com/ishikawa/A1704/A170403/17002939/,石川県/鳳珠郡穴水町/大町/は24,37.22888487682162,136.90442238202334,月・火・木・金・土・日/09:00 - 21:00/水/定休日,,-,～￥999,1973年7月
17002706,どんどん 穴水店,そば、うどん,3.08,11,https://tabelog.com/ishikawa/A1704/A170403/17002706/,石川県/鳳珠郡穴水町/大町/ロ-5,37.22556144682506,136.90861004198683,,,-,-,
17004782,華店,焼肉,3.04,6,https://tabelog.com/ishikawa/A1704/A170403/17004782/,石川県/鳳珠郡穴水町/大町/イ-8-2,37.22526113682533,136.90885043198364,月・水・木・金・土・日/11:30 - 14:00/17:00 - 22:00/火/定休日,予約可,-,-,
17014064,ほそ川,居酒屋,3.04,2,https://tabelog.com/ishikawa/A1704/A170403/17014064/,石川県/鳳珠郡穴水町/大町/9-1,37.229295734663424,136.90462606233464,■ 定休日/木曜日(不定休),,"￥6,000～￥7,999",-,
17014487,Hanon,ケーキ,3.04,2,https://tabelog.com/ishikawa/A1704/A170403/17014487/,石川県/鳳珠郡穴水町/大町/2-7,37.22850807682265,136.90691672201783,月・火・木・金・土/11:00 - 18:00/水・日/定休日,,-,-,
17002361,江戸ッ子寿司,寿司,3.02,1,https://tabelog.com/ishikawa/A1704/A170403/17002361/,石川県/鳳珠郡穴水町/大町/ハ-16,37.22906602656671,136.90464871213018,,,-,-,
17014593,酔仙,日本料理,3.02,1,https://tabelog.com/ishikawa/A1704/A170403/17014593/,石川県/鳳珠郡穴水町/大町/ニ110,37.229295856821516,136.90491783202714,,,-,-,
17013232,能登バル AZ,バル,3.0,2,https://tabelog.com/ishikawa/A1704/A170403/17013232/,石川県/鳳珠郡穴水町/大町/27,37.228619726821876,136.90470639202047,,予約可,-,-,2016年12月
17012536,喫茶フレンズ,喫茶店,3.0,1,https://tabelog.com/ishikawa/A1704/A170403/17012536/,石川県/鳳珠郡穴水町/大町/ニ2,37.22915898682208,136.90641051202473,,,-,-,
17009091,秋桜,喫茶店,3.0,1,https://tabelog.com/ishikawa/A1704/A170403/17009091/,石川県/鳳珠郡穴水町/大町/ハ71-7,37.228867036822805,136.90826940202064,月・火・水・木・金・土/07:00 - 18:00/日/定休日,,-,-,
17012557,吉村菓子店,洋菓子,0.0, - ,https://tabelog.com/ishikawa/A1704/A170403/17012557/,石川県/鳳珠郡穴水町/大町/2-78-5,37.229082256822124,136.90642196202396,,,-,-,
17003457,おたふく,レストラン,0.0, - ,https://tabelog.com/ishikawa/A1704/A170403/17003457/,石川県/鳳珠郡穴水町/大町/ニ-55-6,37.22929397171518,136.89829039591876,,,-,-,
17015539,Restaurer IWASA 能登本店,創作料理,0.0, - ,https://tabelog.com/ishikawa/A1704/A170403/17015539/,石川県/鳳珠郡穴水町/大町/ニ85,37.22831713682271,136.906726302016,11:30 - 14:00/L.O. 13:30/18:00 - 00:00/L.O. 23:00 不定休/ランチ 11時半〜14時/ディナー 18時〜24時/どちらかの営業の日飲みもあるので要問い合わせ/予約は公式LINEから,,-,-,2025年10月6日
17002242,二葉料亭,日本料理,0.0, - ,https://tabelog.com/ishikawa/A1704/A170403/17002242/,石川県/鳳珠郡穴水町/大町/ロ-51-3,37.225904256824535,136.907642871991,,,-,-,
17001819,居酒屋一二三,焼き鳥,0.0, - ,https://tabelog.com/ishikawa/A1704/A170403/17001819/,石川県/鳳珠郡穴水町/大町/ニ-57,37.22925083601624,136.90515100086478,,,-,-,
17002422,滝味寿司,寿司,0.0, - ,https://tabelog.com/ishikawa/A1704/A170403/17002422/,石川県/鳳珠郡穴水町/大町/ニ-24,37.22938884682225,136.90741625202634,,,-,-,
17015230,狩女の会,その他,0.0, - ,https://tabelog.com/ishikawa/A1704/A170403/17015230/,石川県/鳳珠郡穴水町/大町/ハ65-1,37.22902013682288,136.90865110202176,,,-,-,
17011720,そば処 大仏庵,そば,3.03,6,https://tabelog.com/ishikawa/A1704/A170403/17011720/,石川県/鳳珠郡穴水町/乙ケ崎/甲79,37.21103257462994,136.91321971905026,11:00 - 15:00/L.O. 14:30,,-,～￥999,
17002450,福寿司,寿司,3.35,60,https://tabelog.com/ishikawa/A1704/A170403/17002450/,石川県/鳳珠郡穴水町/川島/ア-34,37.23060933682186,136.9086233920378,■ 営業時間/11時30分~ネタ終了まで/■ 定休日/日曜日,予約可,-,-,
17002357,幸寿し,寿司、海鮮丼、海鮮,3.28,41,https://tabelog.com/ishikawa/A1704/A170403/17002357/,石川県/鳳珠郡穴水町/大町/チ-37-4,37.2287628268219,136.90504916202167,月・火・木・金・土・日・祝日・祝前日・祝後日/11:30 - 14:00/17:00 - 22:00/水/定休日 年末年始はテイクアウトのみです。/Instagramもしくは公式ウェブサイトでご確認お願いします。,予約可,"￥5,000～￥5,999","￥2,000～￥2,999",2007年7月9日
17010453,cafe&炭火焼なぎさガーデン,ろばた焼き、海鮮,3.23,36,https://tabelog.com/ishikawa/A1703/A170302/17010453/,石川県/鳳珠郡穴水町/曽福/子8-5,37.17079025685403,136.89034873144638,月・火・木・金・土/11:00 - 15:00/L.O. 14:30/17:00 - 20:00/日/11:00 - 17:00/L.O. 15:00/水/定休日 ■ 営業時間/〔月･火･木･金･土〕/17:00～20:00※5名～の利用のみ/■ 定休日/※冬期間（12月15日～2月末）は夜は予約制になります（※当日予約可能）,予約可,-,"￥1,000～￥1,999",
17005254,お食事・寿し 高尾,寿司、海鮮丼、海鮮,3.2,19,https://tabelog.com/ishikawa/A1704/A170403/17005254/,石川県/鳳珠郡穴水町/此木/25-29-3,37.25111854680684,136.90237442224938,火・水・木・金・土・日/11:00 - 14:00/17:00 - 20:00/月/定休日 ■ 定休日/祝月営業翌日休,予約可,-,"￥2,000～￥2,999",
17003854,力,ちゃんこ鍋、海鮮,3.2,18,https://tabelog.com/ishikawa/A1704/A170403/17003854/,石川県/鳳珠郡穴水町/川島/イ-58,37.23082924682112,136.90675335204136,12:00 - 22:30 ■ 定休日/不定休,予約可,"￥3,000～￥3,999","￥1,000～￥1,999",
17002939,フリースタイル,喫茶店,3.16,16,https://tabelog.com/ishikawa/A1704/A170403/17002939/,石川県/鳳珠郡穴水町/大町/は24,37.22888487682162,136.90442238202334,月・火・木・金・土・日/09:00 - 21:00/水/定休日,,-,～￥999,1973年7月
17002042,もりそば,そば、うどん、天丼,3.15,12,https://tabelog.com/ishikawa/A1704/A170403/17002042/,石川県/鳳珠郡穴水町/川島/ヨ-7-8,37.23245950681981,136.90587035205843,,予約可,-,-,
17011882,八幡のすしべん 穴水此木店,食堂,3.11,25,https://tabelog.com/ishikawa/A1704/A170403/17011882/,石川県/鳳珠郡穴水町/此木/4-14,37.24446738680989,136.89868277218477,07:00 - 20:30/L.O. 料理20:00,予約不可,-,～￥999,
17010416,コーストテーブル,かき、カフェ、海鮮,3.1,14,https://tabelog.com/ishikawa/A1704/A170403/17010416/,石川県/鳳珠郡穴水町/中居南/2-107,37.22520624683651,136.94384510195857,月・火・木・金・土・日/11:00 - 15:00/水/定休日,予約可,-,"￥3,000～￥3,999",2016年1月15日
17001641,香林,中華料理,3.09,12,https://tabelog.com/ishikawa/A1704/A170403/17001641/,石川県/鳳珠郡穴水町/川島/68-1,37.23320760681975,136.9071629120651,,予約可,-,-,
17002450,福寿司,寿司,3.35,60,https://tabelog.com/ishikawa/A1704/A170403/17002450/,石川県/鳳珠郡穴水町/川島/ア-34,37.23060933682186,136.9086233920378,■ 営業時間/11時30分~ネタ終了まで/■ 定休日/日曜日,予約可,-,-,
17003854,力,ちゃんこ鍋、海鮮,3.2,18,https://tabelog.com/ishikawa/A1704/A170403/17003854/,石川県/鳳珠郡穴水町/川島/イ-58,37.23082924682112,136.90675335204136,12:00 - 22:30 ■ 定休日/不定休,予約可,"￥3,000～￥3,999","￥1,000～￥1,999",
17002042,もりそば,そば、うどん、天丼,3.15,12,https://tabelog.com/ishikawa/A1704/A170403/17002042/,石川県/鳳珠郡穴水町/川島/ヨ-7-8,37.23245950681981,136.90587035205843,,予約可,-,-,
17001641,香林,中華料理,3.09,12,https://tabelog.com/ishikawa/A1704/A170403/17001641/,石川県/鳳珠郡穴水町/川島/68-1,37.23320760681975,136.9071629120651,,予約可,-,-,
17011069,蔵カフェ 菜々,カフェ,3.04,6,https://tabelog.com/ishikawa/A1704/A170403/17011069/,石川県/鳳珠郡穴水町/川島/ツ126,37.22625409682597,136.91285426199087,火・水・木・金・土・日/11:00 - 21:00/月/定休日,予約可,-,"￥1,000～￥1,999",2017年1月15日
17013334,Bakery H&M,パン,3.04,3,https://tabelog.com/ishikawa/A1704/A170403/17013334/,石川県/鳳珠郡穴水町/川島/13-1/ウイングなかり,37.23042748682102,136.90564192203811,,,-,～￥999,
17008677,泉花月堂,和菓子,3.03,6,https://tabelog.com/ishikawa/A1704/A170403/17008677/,石川県/鳳珠郡穴水町/川島/イ17,37.230447716821175,136.90615327203793,月・火・木・金・土/07:30 - 19:00/日/07:30 - 18:00/水/定休日,,-,～￥999,1921年4月
17002936,プランタン,喫茶店,3.03,4,https://tabelog.com/ishikawa/A1704/A170403/17002936/,石川県/鳳珠郡穴水町/川島/レ-29,37.233494456819805,136.90792454206746,07:00 - 18:00,,-,-,1984年4月
17002316,磯寿し,寿司,3.03,3,https://tabelog.com/ishikawa/A1704/A170403/17002316/,石川県/鳳珠郡穴水町/川島/イ-84-2,37.23131061682084,136.90684567204616,11:00 - 13:00/17:00 - 23:30 ■ 定休日/第一月曜日、第三日曜日,予約可,-,-,
17001640,酔八仙,中華料理,3.01,1,https://tabelog.com/ishikawa/A1704/A170403/17001640/,石川県/鳳珠郡穴水町/川島/ソ-1-5,37.23114435682113,136.9073956720441,,,-,-,
17015341,いろはストア,コンビニ・スーパー,0.0,1,https://tabelog.com/ishikawa/A1704/A170403/17015341/,石川県/鳳珠郡穴水町/川島/キ124,37.228985436823315,136.90995780202047,09:30 - 18:30 9：30-18：30,,-,-,
17004034,きん太郎,居酒屋,0.0,1,https://tabelog.com/ishikawa/A1704/A170403/17004034/,石川県/鳳珠郡穴水町/川島/ツ-39,37.22687865682528,136.91191750199783,月・火・水・木・金・土/18:00 - 00:00/日/定休日,予約可,-,-,
17003268,マーメイド,レストラン,0.0, - ,https://tabelog.com/ishikawa/A1704/A170403/17003268/,石川県/鳳珠郡穴水町/川島/イ-72-3,37.232374377247915,136.90856440083624,,,-,-,
