store_id,store_name,genre,rate,review_cnt,store_url,address,latitude,longitude,business_hours,reserve,dinner_budget,lunch_budget,opened
17001865,ラーメン藤,ラーメン,3.07,122,https://tabelog.com/ishikawa/A1701/A170102/17001865/,石川県/河北郡内灘町/アカシア/1-3-2,36.63388473630797,136.63383389504122,月・火・水・金・土・日/10:00 - 22:00/木/定休日,予約不可,～￥999,"￥1,000～￥1,999",
17014799,カマトコンロ,釜飯,3.06,8,https://tabelog.com/ishikawa/A1701/A170102/17014799/,石川県/河北郡内灘町/アカシア/1-126,36.634801957113226,136.63529119621123,月・水・木・日・祝前日/11:00 - 17:00/金・土/11:00 - 21:00/火/定休日,予約可,"￥2,000～￥2,999","￥1,000～￥1,999",2024年9月29日
17003492,さっちゃん,お好み焼き、たこ焼き,3.01,3,https://tabelog.com/ishikawa/A1701/A170102/17003492/,石川県/河北郡内灘町/アカシア/1-11,36.634223967112995,136.63341761620669,月・火・木・金・土・日/11:00 - 20:00/水/定休日,,-,～￥999,
17015080,SHENG しぇん,弁当,3.36,1,https://tabelog.com/ishikawa/A1701/A170102/17015080/,石川県/河北郡内灘町/アカシア/2-86,36.634000137114455,136.63754829620154,月・水・木・金/07:00 - 19:00/土・祝日/09:00 - 18:00/火・日/定休日 なくなり次第終了,,-,-,
17002004,アカシア,焼肉,3.34, - ,https://tabelog.com/ishikawa/A1701/A170102/17002004/,石川県/河北郡内灘町/アカシア/1-8,36.63401194060484,136.63522329592885,,,-,-,
17009242,らーめん la.la.la.,ラーメン,3.33,84,https://tabelog.com/ishikawa/A1701/A170102/17009242/,石川県/河北郡内灘町/向粟崎/5-247/ミリオン内灘店,36.63670617827925,136.6400746800854,火・水・木・金・土・日/11:30 - 14:30/17:30 - 21:30/L.O. 21:00/月/定休日 第三火曜日定休,予約不可,～￥999,"￥1,000～￥1,999",2014年10月23日
17000176,ミンライ,中華料理、ラーメン,3.25,59,https://tabelog.com/ishikawa/A1701/A170102/17000176/,石川県/河北郡内灘町/向陽台/1-1-4,36.63491698711254,136.6333782062137,月・火・水・木・金・土/11:25 - 14:00/日/定休日,予約可,"￥1,000～￥1,999","￥1,000～￥1,999",
17001070,夢ミルク館,ジェラート・アイスクリーム,3.21,49,https://tabelog.com/ishikawa/A1701/A170102/17001070/,石川県/河北郡内灘町/湖西/243,36.66841713710623,136.6803730965192,■10:00～17:00(pm5時まで）/■11月・２月は16：00(pm4時まで)/(2月は土日祝のみ営業),予約不可,-,-,
17013529,八百屋のスイーツ Horita 205 内灘店,ケーキ、ソフトクリーム、カフェ,3.21,31,https://tabelog.com/ishikawa/A1701/A170102/17013529/,石川県/河北郡内灘町/字大学1-4-1,36.65931505710203,136.64901655644923,09:00 - 19:00,,-,"￥1,000～￥1,999",
17001088,はづ貴,カレー、食堂,3.2,51,https://tabelog.com/ishikawa/A1701/A170102/17001088/,石川県/河北郡内灘町/鶴ヶ丘4-1-159,36.644081636302396,136.6366788951422,火・水・木・金・土・日/11:00 - 15:00/17:00 - 22:00/月/定休日 ■ 営業時間/【夜】17:00～22:00 ※予約のみ※,予約可,"￥5,000～￥5,999","￥1,000～￥1,999",2000年5月
