store_id,store_name,genre,rate,review_cnt,store_url,address,latitude,longitude,business_hours,reserve,dinner_budget,lunch_budget,opened
17010334,madoかふぇ,カフェ,3.06,8,https://tabelog.com/ishikawa/A1701/A170102/17010334/,石川県/河北郡津幡町/浅田/丙45-3,36.665198257125645,136.7349023364484,月・火・水・木・金・土/11:00 - 17:30/日/定休日,予約可,-,-,2016年9月26日
17013537,たい焼 いのうえ,たい焼き・大判焼き,3.38,1,https://tabelog.com/ishikawa/A1701/A170102/17013537/,石川県/河北郡津幡町/浅田/丙19-4,36.66479113632037,136.73438659528293,,,-,-,
17009478,ミエル,洋食,3.26,59,https://tabelog.com/ishikawa/A1701/A170102/17009478/,石川県/河北郡津幡町/北中条/2-15,36.662555347125014,136.7276690864268,月・水・木・金・土・日/11:00 - 21:00/火/定休日 ■ 定休日/第2水曜日,予約可,"￥1,000～￥1,999","￥1,000～￥1,999",
17010455,そば処くらみつ,そば,3.25,21,https://tabelog.com/ishikawa/A1701/A170102/17010455/,石川県/河北郡津幡町/字倉見ツ1-1,36.67992833712431,136.76010353657958,■ 営業時間/11:40～麺切れ終い/■定休日/火曜日、水曜日、木曜日、金曜日,予約可,-,"￥1,000～￥1,999",
17012466,麺屋大河 金澤タンメン,ラーメン,3.16,46,https://tabelog.com/ishikawa/A1701/A170102/17012466/,石川県/河北郡津幡町/字庄ホ32-1,36.67786820349063,136.7218232179253,火・水・木・金・土・日・祝日/11:30 - 14:30/17:30 - 21:00/月/定休日 ■ 定休日/月曜日 ※祝日の場合翌日,予約不可,-,"￥1,000～￥1,999",2020年9月18日
17007855,もみの木カフェ,洋菓子,3.15,33,https://tabelog.com/ishikawa/A1701/A170102/17007855/,石川県/河北郡津幡町/清水/チ332-2,36.67553392711826,136.73235346655463,月・火・水・木・金・土/10:00 - 18:30/日/定休日,予約可,-,-,
17011358,中華萬菜赤兎,中華料理,3.11,15,https://tabelog.com/ishikawa/A1701/A170102/17011358/,石川県/河北郡津幡町/北中条/4-44,36.66302266712535,136.7296685064301,月・火・水・金・土・日/11:00 - 15:00/L.O. 料理14:30/17:30 - 21:00/木/定休日,予約可,"￥1,000～￥1,999",-,
17011352,かほくがた牧場アイス工房 ラグーン 津幡店,ジェラート・アイスクリーム、ソフトクリーム、カフェ,3.11,20,https://tabelog.com/ishikawa/A1701/A170102/17011352/,石川県/河北郡津幡町/南中条/ト182,36.65803153712837,136.72919769638003,月・火・木・金・土・日/12:00 - 18:00/水/定休日 ■ 定休日/第二木曜日、第四木曜日,予約不可,～￥999,～￥999,2020年3月20日
17004717,寿司本舗たまや,寿司、海鮮丼、海鮮,3.1,7,https://tabelog.com/ishikawa/A1701/A170102/17004717/,石川県/河北郡津幡町/加賀爪/ヌ-5,36.668677897123914,136.73641547648253,火・水・木・金・土・日・祝日/11:30 - 14:15/L.O. 料理14:00/17:00 - 21:30/L.O. 料理21:00/月/定休日 ■ 定休日/月曜日（祝日の場合は翌日火曜日）,予約可,"￥2,000～￥2,999","￥1,000～￥1,999",
17006551,風車 倶利迦羅不動寺山頂堂境内食堂,そば、カフェ,3.09,20,https://tabelog.com/ishikawa/A1701/A170102/17006551/,石川県/河北郡津幡町/倶利伽羅/リ-2/倶利伽羅不動寺山頂堂境内,36.663551093745205,136.81552192877655,09:00 - 17:00 ■ 営業時間/※天候等で16時前後に短縮あり/■ 定休日/不定休,予約不可,-,～￥999,
17004578,与市,居酒屋,3.09,21,https://tabelog.com/ishikawa/A1701/A170102/17004578/,石川県/河北郡津幡町/北中条/4-11,36.66276368712585,136.73071787642678,,予約可,-,-,
17012486,高級食パン専門店 おい!なんだこれは! 津幡店,パン,0.0,9,https://tabelog.com/ishikawa/A1701/A170102/17012486/,石川県/河北郡津幡町/北中条/6-91,36.66019475712657,136.72785633640285,10:00 - 18:00,,-,-,2020年10月24日
17004269,パティスリー・アール,ケーキ,3.05,7,https://tabelog.com/ishikawa/A1701/A170102/17004269/,石川県/河北郡津幡町/太田/は136-15,36.655328247125894,136.71602185636198,月・水・木・金・土・日/10:00 - 19:00/火/定休日 ■ 営業時間/※営業日時変更の場合はSNSにて告知,予約可,-,～￥999,2009年3月6日
17002003,百万石,ホルモン、焼肉,3.04,7,https://tabelog.com/ishikawa/A1701/A170102/17002003/,石川県/河北郡津幡町/太田/ラ-60,36.64979858713202,136.72423198630037,月・水・木・金・土・日/11:30 - 22:00/L.O. 21:30/火/定休日 ■ 定休日/第三月曜日,予約可,"￥3,000～￥3,999",～￥999,
17011003,のた家,カフェ、ダイニングバー、食堂,3.02,4,https://tabelog.com/ishikawa/A1701/A170102/17011003/,石川県/河北郡津幡町/太田/ろ41-4,36.65314572712833,136.71931361633762,月・水・木・金・土・日/11:30 - 14:00/火/定休日 ■ 営業時間/お弁当販売始めました。/日替わり弁当1000円。 3日前より予約可5個より承ります。/尚、ランチ営業あるため配達はできません。/オードブル承ります。,予約可,-,"￥1,000～￥1,999",2017年10月11日
